ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
IDXX,GICS_35,CAPM,0.018142,0.76914,,,
ALKS,GICS_35,CAPM,0.008601,1.340888,,,
VRTX,GICS_35,CAPM,0.015245,1.020446,,,
IDPH,GICS_35,CAPM,0.023889,0.929161,,,
PRGO,GICS_35,CAPM,0.006584,0.69717,,,
GILD,GICS_35,CAPM,0.01416,0.705632,,,
SCLN,GICS_35,CAPM,0.013118,1.862013,,,
RARE,GICS_35,CAPM,0.017497,1.136522,,,
WPI,GICS_35,CAPM,0.007219,0.451232,,,
ZONA,GICS_35,CAPM,0.039919,1.802926,,,
AZN,GICS_35,CAPM,0.004942,0.48493,,,
INCY,GICS_35,CAPM,0.011325,1.684041,,,
NSTK,GICS_35,CAPM,0.010489,1.832228,,,
RMD,GICS_35,CAPM,0.015003,0.622452,,,
MYGN,GICS_35,CAPM,0.009852,1.12075,,,
IPXL,GICS_35,CAPM,0.017256,1.124714,,,
NBIX,GICS_35,CAPM,0.014183,0.869555,,,
QGENF,GICS_35,CAPM,0.013159,2.15478,,,
CERS,GICS_35,CAPM,0.002327,1.785896,,,
EPIX,GICS_35,CAPM,-0.003498,2.241471,,,
CTIC,GICS_35,CAPM,-0.003221,3.023562,,,
AVII,GICS_35,CAPM,0.013322,1.386761,,,
ADSK,GICS_35,CAPM,0.011582,1.637991,,,
DMI,GICS_35,CAPM,0.027277,0.664746,,,
SHPGY,GICS_35,CAPM,0.010075,0.872665,,,
HCM,GICS_35,CAPM,0.009596,0.335811,,,
ICPT,GICS_35,CAPM,0.025103,1.117545,,,
CNC,GICS_35,CAPM,0.002554,1.192538,,,
UTHR,GICS_35,CAPM,0.013308,0.625346,,,
BMRN,GICS_35,CAPM,0.010702,1.180009,,,
A,GICS_35,CAPM,0.000296,1.597153,,,
UNH,GICS_35,CAPM,0.014531,0.594049,,,
ORCL,GICS_45,Carhart,0.000521,1.112976,0.265556,-0.639077,0.05203
MSFT,GICS_45,Carhart,0.005039,1.039631,-0.254528,-0.6677,-0.201469
FIC,GICS_45,Carhart,0.000756,1.050526,0.734537,0.757071,-0.223284
MAY,GICS_45,Carhart,-0.002916,0.71184,0.302508,1.087929,-0.55224
AAPL,GICS_45,Carhart,0.019377,1.357076,0.116565,-0.883295,-0.005418
TXN,GICS_45,Carhart,0.001837,1.279013,0.451369,-0.399445,0.035835
XRX,GICS_45,Carhart,-0.001903,1.341482,0.114015,-0.380831,-0.730747
CSC,GICS_45,Carhart,0.005136,1.197644,-0.375115,-0.227157,-0.22466
INTC,GICS_45,Carhart,0.001438,1.077801,0.017407,-0.717042,-0.340897
AMD,GICS_45,Carhart,0.014011,1.954116,0.368591,-0.510763,-0.733992
ADBE,GICS_45,Carhart,0.009367,1.370394,0.582283,-0.430886,0.16344
CSCO,GICS_45,Carhart,-0.002001,1.216724,0.134756,-0.615945,-0.332546
QCOM,GICS_45,Carhart,0.001832,1.182149,-0.092622,-0.119664,-0.040122
CRM,GICS_45,Carhart,0.014385,1.027794,0.700174,-0.034526,0.088374
ANET,GICS_45,Carhart,0.019653,0.980979,1.35782,-0.247264,0.614621
BILL,GICS_45,Carhart,0.028361,1.836948,0.119182,-0.774593,-1.121003
LTBG,GICS_45,Carhart,-0.005582,1.431091,0.878478,0.471234,-0.158387
CSU,GICS_45,Carhart,-0.006426,1.13038,1.230374,0.843687,-0.240474
