ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
DRNA,GICS_35,FF3,-0.001244,0.884273,3.188325,-1.44863,
ITCI,GICS_35,FF3,0.03764,0.655016,2.3401,0.422035,
TRVN,GICS_35,FF3,-0.001541,1.533011,2.108986,-0.749259,
CNCE,GICS_35,FF3,-0.001848,0.605452,1.689598,-1.150159,
EGRX,GICS_35,FF3,0.023211,0.403401,2.54861,-0.511745,
QURE,GICS_35,FF3,0.014215,0.843464,2.090471,-1.172153,
CERU,GICS_35,FF3,-0.05923,2.257996,1.118802,-1.150162,
CBAY,GICS_35,FF3,0.014569,1.148002,1.143556,-0.894069,
NERV,GICS_35,FF3,-0.001491,1.116968,0.827066,0.358728,
OCUL,GICS_35,FF3,0.008847,1.409523,3.91352,-1.039795,
SAGE,GICS_35,FF3,0.007816,1.994036,0.744435,-0.644037,
WHLM,GICS_45,CAPM,-0.004141,0.467525,,,
ERI,GICS_25,Carhart,0.034911,2.463101,0.652838,0.682977,0.020625
BABA,GICS_25,Carhart,-0.001539,1.35092,-0.423999,-0.590662,-0.007865
AUPH,GICS_35,FF3,0.022666,1.099155,0.640397,-1.134085,
ADMA,GICS_35,FF3,-0.032502,1.556383,0.490806,-0.949534,
FGEN,GICS_35,FF3,-0.000868,0.998663,1.988831,-0.777997,
INCR,GICS_35,FF3,0.013949,1.077961,0.363206,-0.806114,
XENE,GICS_35,FF3,-0.001859,1.113498,1.90194,-0.732043,
ANTM,GICS_35,FF3,0.00733,0.84751,0.11114,0.105792,
QSR,GICS_25,Carhart,-0.002078,1.150757,-0.252767,-0.157058,-0.301795
ASND,GICS_35,FF3,0.028391,0.615431,0.316073,-0.184671,
ONCE,GICS_35,FF3,0.021363,1.490362,3.267615,-1.807568,
ETSY,GICS_25,Carhart,0.021669,1.524348,0.960267,-0.870635,-0.207888
BPMC,GICS_35,FF3,0.023651,0.509902,2.46853,-1.002237,
CRBP,GICS_35,FF3,-0.005011,1.860186,0.552234,-0.249038,
XBIT,GICS_35,FF3,0.004751,1.736412,-2.264245,0.099304,
ZBH,GICS_35,FF3,-0.00639,1.236308,-0.061947,-0.026586,
PIRS,GICS_35,FF3,-0.008307,1.349249,0.912879,-1.481399,
AXON,GICS_35,FF3,-0.03186,0.261715,4.173862,-2.229027,
BNED,GICS_25,Carhart,-0.010616,1.779558,1.763041,0.908098,-0.316073
PLNT,GICS_25,Carhart,0.01477,1.12573,0.099965,-0.047059,-0.086358
AIMT,GICS_35,FF3,0.028366,1.251605,1.647162,0.819963,
