gvkey,Data Date,fyear,Industry Format,Level of Consolidation - Company Annual Descriptor,Population Source,Data Format,tic,ISO Currency Code,act,at,capx,ceq,ebit,lct,lt,ni,re,sale,xrd,xsga,Active/Inactive Status Marker,mkvalt,GIC Sectors,wcap,ROA,ROE,RD_Sales,Debt_Assets,Market_Book,WC_TA,RE_TA,ROA_vol,ROE_vol,cluster,pca_1,pca_2
28380,2017-12-31,2017,INDL,C,D,STD,OFIX,USD,251.801,405.354,14.665,296.608,41.805,79.406,108.746,6.223,74.189,433.823,29.7,299.581,A,999.8613,35,172.39499999999998,0.015352013301953354,0.020980553457762435,0.0684611004949023,0.26827415049561615,3.3709856106376095,0.42529492739679386,0.18302274061684354,0.011426637567276009,0.01570795727711521,0,-1.0297818512586792,0.4106205505548503
28806,2012-09-30,2012,INDL,C,D,STD,ARWR,USD,6.567,16.528,0.479,10.013,-18.592,5.328,7.719,-21.126,-134.998,0.147,8.7,,A,35.577,35,1.2389999999999999,-1.2781945788964184,-2.109857185658644,59.183673469387756,0.4670256534365925,3.553080994706881,0.07496369796708616,-8.167836398838334,0.562718437085704,0.983185217392664,2,0.4954605230042543,-1.266926497506857
28806,2013-09-30,2013,INDL,C,D,STD,ARWR,USD,28.844,37.33,0.297,27.499,-21.86,8.725,11.595,-31.143,-166.141,0.29,12.299,,A,184.8624,35,20.119,-0.8342619876774713,-1.1325139095967127,42.41034482758621,0.31060809000803646,6.722513545947126,0.5389499062416288,-4.4506027323868205,0.5435411858511294,0.9330119231083558,3,-0.19831934549069885,-0.9145448626075245
28806,2014-09-30,2014,INDL,C,D,STD,ARWR,USD,154.801,182.817,1.717,166.54,-48.728,11.847,16.832,-58.63,-224.771,0.175,30.966,,A,807.2839,35,142.95399999999998,-0.3207032168780803,-0.35204755614266847,127.4,0.09207021228879153,4.847387414434971,0.7819513502573611,-1.2294863169180108,0.47916741419380815,0.8807404367686328,2,-0.5157863591178823,-0.9875859822778282
28806,2015-09-30,2015,INDL,C,D,STD,ARWR,USD,102.871,132.268,1.971,110.177,-83.938,15.901,22.646,-91.941,-316.848,0.382,69.015,,A,342.9792,35,86.97,-0.6951114404088669,-0.8344845112863846,127.4,0.1712129918045181,3.11298365357561,0.6575286539450207,-2.395500045362446,0.2656084222176238,0.39384740421035497,2,-0.3425305626790195,-1.0509139423783977
28806,2016-09-30,2016,INDL,C,D,STD,ARWR,USD,90.503,128.177,3.86,95.579,-85.554,25.644,33.153,-81.723,-398.428,0.158,55.337,,A,512.6405,35,64.85900000000001,-0.6375792848951061,-0.8550309168331957,127.4,0.2586501478424366,5.363526506868664,0.5060112188614183,-3.1084203874330028,0.20161924066891942,0.28465178481809705,2,-0.31879910798630445,-1.1801760920882214
28806,2017-09-30,2017,INDL,C,D,STD,ARWR,USD,67.903,104.022,7.918,81.422,-36.996,18.701,23.155,-34.38,-432.782,31.408,43.412,,A,323.8191,35,49.202000000000005,-0.33050700813289496,-0.4222446021959667,1.3821956189505857,0.2225971429120763,3.97704674412321,0.47299609697948514,-4.160485281959585,0.19601858930097737,0.2441542857720104,0,-0.6906692439448681,0.03785838103251953
29086,2012-06-30,2012,INDL,C,D,STD,PTN,USD,4.737,5.38,0.015,1.831,-18.785,3.457,3.549,-17.253,-239.243,0.074,13.813,,A,17.4505,35,1.2800000000000002,-3.2068773234200743,-6.816419064892113,127.4,0.6596654275092937,9.530584380120153,0.23791821561338294,-44.46895910780669,1.6511164428384706,5.187616540568626,2,3.0992370285792443,-5.015736249886345
29086,2013-06-30,2013,INDL,C,D,STD,PTN,USD,24.75,25.074,0.06,22.978,-15.586,2.06,2.096,-20.862,-260.106,0.01,10.529,,A,24.2525,35,22.69,-0.8320172290021535,-0.9079119157454956,127.4,0.0835925660046263,1.0554660980067891,0.8885823711585162,-10.373534338358459,1.4410395700519045,4.975790490022573,2,0.7105321797621718,-1.4828125569991732
29086,2015-06-30,2015,INDL,C,D,STD,PTN,USD,29.196,29.474,0.0,12.204,-17.285,7.356,17.27,-17.666,-291.699,12.952,24.56,,A,50.8439,35,21.840000000000003,-0.5993757209744182,-1.4475581776466733,1.8962322421247684,0.5859401506412432,4.166166830547361,0.7409920607993487,-9.896824319739432,1.4429799690266427,4.7678851903221116,3,0.4781552255440811,-0.9190682929821563
29086,2017-06-30,2017,INDL,C,D,STD,PTN,USD,56.578,56.833,0.133,-5.165,-10.57,54.962,61.998,-13.332,-356.745,44.724,45.683,,A,69.0215,35,1.6159999999999997,-0.2345820210089209,2.581219748305905,1.0214426258831948,1.0908802984181725,-13.363310745401742,0.028434184364717677,-6.277074938855947,0.3011437482172091,2.1869426693336362,0,0.5949059799055083,2.321861443419583
29127,2012-12-31,2012,INDL,C,D,STD,INCY,USD,309.514,330.419,2.839,-174.957,1.148,136.074,505.376,-44.32,-1652.012,297.059,210.391,,A,2216.8038,35,173.44,-0.13413272239187216,0.2533193870493893,0.7082465099525682,1.5295004221912178,-12.670563624204807,0.5249092818512253,-4.999748803791549,0.2720933108229946,0.3021275432543273,0,0.21012329175201888,1.4920248576368187
29127,2013-12-31,2013,INDL,C,D,STD,INCY,USD,555.799,629.568,4.267,-193.108,-16.102,108.042,822.676,-83.147,-1735.044,354.947,260.436,,A,8251.9306,35,447.75699999999995,-0.1320699273152384,0.4305725293618079,0.7337320783102829,1.3067309647250178,-22.085141465242646,0.7112130857985157,-2.755927874351937,0.2505461892975077,0.29070043255632555,0,0.12656787757321056,2.2195090711572645
29127,2014-12-31,2014,INDL,C,D,STD,INCY,USD,699.214,830.069,27.876,-81.628,-4.804,221.515,911.697,-48.481,-1783.703,511.495,347.523,,A,12492.8175,35,477.69900000000007,-0.05840598793594268,0.5939261037879159,0.6794259963440503,1.0983388127974905,-22.085141465242646,0.5754931216561516,-2.1488611187744633,0.04313770469817852,0.170350619911215,0,-0.07068439887065148,2.353613881714214
29127,2015-12-31,2015,INDL,C,D,STD,INCY,USD,842.375,1007.44,26.003,171.155,50.651,168.007,836.285,6.531,-1779.796,753.751,479.514,,A,20242.1925,35,674.3679999999999,0.006482768204558087,0.0381583944377903,0.6361703002715752,0.8301089891209401,33.719624776302155,0.6693877551020407,-1.7666521083141427,0.06932264670141987,0.2856428394347963,3,-1.3917060450776524,-1.7390308745898055
29127,2016-12-31,2016,INDL,C,D,STD,INCY,USD,994.178,1638.597,120.277,419.467,164.02,273.501,1219.13,104.222,-1677.651,1105.719,581.861,856.212,A,18935.8892,35,720.677,0.06360441279948639,0.2484629303377858,0.5262286349425125,0.7440084413678287,33.719624776302155,0.43981345016498874,-1.0238338041629516,0.061046390614447964,0.28060961874302437,3,-1.3537787940224326,-1.627564195434269
29127,2017-12-31,2017,INDL,C,D,STD,INCY,USD,1504.854,2302.582,111.021,1630.629,-224.03,375.396,671.953,-313.142,-1997.015,1536.216,1326.361,1639.967,A,20008.7187,35,1129.458,-0.13599602533156258,-0.19203755115357327,0.8633948611393191,0.29182587199934684,12.270552467790038,0.49051803583976605,-0.8672937597879251,0.10279706853054744,0.22032508004496973,0,-1.071660845204515,-0.36179711683640453
29319,2012-12-31,2012,INDL,C,D,STD,POSC,USD,1.104,2.685,0.073,-9.481,-4.722,8.11,8.875,-7.955,-116.471,2.801,0.94,5.551,A,12.3414,35,-7.005999999999999,-2.962756052141527,0.8390465140807932,0.3355944305605141,3.3054003724394785,-1.301698133108322,-2.609310986964618,-43.378398510242086,0.43074931119602194,0.5141475440239652,1,5.08030397405277,0.2764204257698596
29319,2013-12-31,2013,INDL,C,D,STD,POSC,USD,2.573,3.882,0.016,-14.664,-3.197,14.657,15.123,-7.104,-123.432,1.63,0.564,3.621,A,6.9722,35,-12.084,-1.829984544049459,0.4844517184942717,0.3460122699386503,3.8956723338485313,-0.4754637206764866,-3.1128284389489953,-31.79598145285935,0.5853106801782887,0.187099935179308,1,4.749621966999051,0.4231343349022947
29319,2014-12-31,2014,INDL,C,D,STD,POSC,USD,0.73,1.869,0.026,-1.547,-2.743,2.697,2.706,-2.584,-126.016,1.466,0.471,2.847,A,7.2249,35,-1.967,-1.3825575173889781,1.6703296703296704,0.32128240109140516,1.4478330658105938,-4.670265029088559,-1.052434456928839,-67.4242910647405,0.81449264811144,0.6086974715967234,1,3.7881891696413508,0.6634941914536022
29449,2012-12-31,2012,INDL,C,D,STD,UFPT,USD,64.494,98.617,11.993,73.26,16.654,13.231,25.357,10.895,53.954,130.962,1.3,21.531,A,120.96,35,51.263,0.1104779094882221,0.1487168987168987,0.009926543577526306,0.2571260533173793,1.651105651105651,0.5198190981270977,0.5471064826551203,0.010864073222760642,0.01868621448259363,0,-1.0993272404267103,0.5925231080449515
29449,2013-12-31,2013,INDL,C,D,STD,UFPT,USD,68.832,105.02,5.83,85.59,17.409,12.322,19.43,11.276,65.23,139.223,1.2,23.24,A,174.0432,35,56.50999999999999,0.10737002475718911,0.13174436265918915,0.008619265494925407,0.1850123785945534,2.0334525061338944,0.5380879832412873,0.621119786707294,0.01213971703209499,0.01852196479200507,0,-1.1494115547630221,0.556372404691962
29449,2014-12-31,2014,INDL,C,D,STD,UFPT,USD,68.413,113.69,13.436,94.992,13.033,11.613,18.698,7.559,72.789,139.307,1.2,23.847,A,173.7914,35,56.8,0.066487817750022,0.07957512211554657,0.008614068209063436,0.1644647726273199,1.8295372241873,0.49960418682381913,0.6402410062450523,0.02454975209791166,0.03603304481241711,0,-1.1106404168317872,0.5422758368553673
29449,2015-12-31,2015,INDL,C,D,STD,UFPT,USD,63.603,119.95,16.321,103.572,13.446,10.983,16.378,7.593,80.382,138.85,1.4,24.008,A,170.0986,35,52.620000000000005,0.06330137557315547,0.07331131966168462,0.010082823190493338,0.13654022509378907,1.642322249256556,0.438682784493539,0.6701292205085453,0.024574899472255555,0.03208136892868309,0,-1.0876733018106817,0.5560499499760652
29449,2016-12-31,2016,INDL,C,D,STD,UFPT,USD,69.847,127.934,7.293,113.053,10.545,9.556,14.881,7.97,88.352,146.132,1.3,24.105,A,183.5454,35,60.291,0.062297747275939154,0.07049790806082103,0.008896066569950456,0.11631778885988088,1.6235340946281833,0.4712664342551628,0.6906060937670987,0.0049161843187636774,0.009019314011035081,0,-1.1262831418949304,0.5588397369946341
29449,2017-12-31,2017,INDL,C,D,STD,UFPT,USD,75.074,138.207,10.382,123.712,11.642,9.943,14.495,9.21,97.562,147.843,1.1,23.845,A,202.384,35,65.131,0.06663917167726671,0.07444710294878427,0.007440325209850992,0.1048789135137873,1.6359286083807552,0.47125688279175443,0.7059121462733436,0.0049161843187636774,0.009019314011035081,0,-1.133917076244177,0.5601078972834276
29837,2012-12-31,2012,INDL,C,D,STD,BCRX,USD,41.978,57.439,0.113,-0.454,-30.629,17.224,57.893,-39.081,-392.574,26.293,51.464,,A,72.2681,35,24.754,-0.6803913717160814,5.583333333333334,1.9573270452211615,1.007904037326555,-22.085141465242646,0.4309615418095719,-6.834624558226989,0.21789360393519006,22.938644902238984,4,1.5374171335730236,3.144700808859826
29837,2013-12-31,2013,INDL,C,D,STD,BCRX,USD,42.121,48.866,0.03,-1.126,-25.722,15.256,49.992,-30.108,-422.705,17.331,42.73,,A,449.0992,35,26.865000000000002,-0.6161339172430729,5.583333333333334,2.4655242051814668,1.0230426063111366,-22.085141465242646,0.5497687553718332,-8.650288544182049,0.041126501905355856,22.938644902238984,4,1.4006593667552185,3.168198793288741
29837,2014-12-31,2014,INDL,C,D,STD,BCRX,USD,89.343,136.874,0.106,75.635,-45.771,57.687,61.239,-45.189,-468.028,13.608,51.796,,A,874.9728,35,31.656000000000006,-0.3301503572628841,-0.5974614926951808,3.806290417401528,0.44741148793781144,11.568358564156805,0.2312784020339875,-3.419407630375382,0.18645123814709025,22.938644902238984,5,0.06213850116647004,-1.4203550160882563
29837,2015-12-31,2015,INDL,C,D,STD,BCRX,USD,65.99,124.555,5.122,47.724,-39.444,64.453,76.831,-43.019,-511.123,48.257,72.758,,A,757.0236,35,1.536999999999992,-0.34538155834771783,-0.9014122873187495,1.5077190873862858,0.6168439645136686,15.862534573799348,0.012339930151338701,-4.103592790333587,0.16089614969125673,15.871125628932026,5,-0.06622195383584857,-1.5268896003221766
